DOT,Legal_Name,Business_Address,Business_City,business_county,Business_State,Business_ZIP,Years_In_Business,Number Of Trucks ,Number Of Driver,Yearly Premium,BIPD_Required,Insurer,Filing_Locale,Building_Materials,Chemicals,Coal_Coke,Commodities_Dry_Bulk,Construction,Drive_Away_Towaway,Farm_Supplies,Fresh_Produce,Grain_Feed_Hay,Garbage_Refuse_Trash,General_Freight,Household_Goods,Intermodal_Cont,Liquid_Gas,Livestock,Logs_Poles_Beams_Lumber,Machinery_Large_Objects,Meat,Metal_Sheets_Coil_Rolls,Mobil_Homes,Motor_Vehicle,Oil_Field_Equipment,Paper_Product,Passengers,Refrigerated_Food,US_Mail,Utility,Water_Well,Interstate,Intrastate_Hazmat,Intrastate_Non_Hazmat,Authorized_For_Hire,Exempt_For_Hire,Private_Property,Private_Passenger_Business,Private_Passenger_Non_Businesss,Migrant,US_Mail_Class,Federal_Gov,State_Gov,Local_Gov,Other,Passenger_Auth,Household_Auth,Hazmat,OOS,Inspection_Radius,Safety_Rating,Safety_Rating_Date,ISS,issSource,Unsafe_Driving_Score,Unsafe_Driving_Alert,HOS_Score,HOS_Alert,Driver_Fitness_Score,Driver_Fitness_Alert,Controlled_Substance_Score,Controlled_Substance_Alert,Vehicle_Maintenance_Score,Vehicle_Maintenance_Alert,Hazmat_Score,Hazmat_Alert,Crash_Score,Crash_Alert
241572,LANDSTAR RANGER INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,38,6855,7027,123390000,5000,OLD REPUBLIC INSURANCE CO.,Federal,X,X,,,X,X,,X,,,X,,X,X,,X,X,,X,,,,X,,X,X,,,X,,,X,,,,,,,,,,,,,Y,N,3688,SATISFACTORY,2/13/2022,91,Safety,67,Y,67,Y,15,,,,64,,77,,44,
241572,LANDSTAR RANGER INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,38,6855,7027,123390000,5000,OLD REPUBLIC INSURANCE COMPANY,Texas,X,X,,,X,X,,X,,,X,,X,X,,X,X,,X,,,,X,,X,X,,,X,,,X,,,,,,,,,,,,,Y,N,3688,SATISFACTORY,2/13/2022,91,Safety,67,Y,67,Y,15,,,,64,,77,,44,
241572,LANDSTAR RANGER INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,38,6855,7027,123390000,5000,OLD REPUBLIC INSURANCE COMPANY,Texas,X,X,,,X,X,,X,,,X,,X,X,,X,X,,X,,,,X,,X,X,,,X,,,X,,,,,,,,,,,,X,Y,N,3688,SATISFACTORY,2/13/2022,91,Safety,67,Y,67,Y,15,,,,64,,77,,44,
241572,LANDSTAR RANGER INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,38,6855,7027,123390000,5000,SELF-INSURED,Federal,X,X,,,X,X,,X,,,X,,X,X,,X,X,,X,,,,X,,X,X,,,X,,,X,,,,,,,,,,,,X,Y,N,3688,SATISFACTORY,2/13/2022,91,Safety,67,Y,67,Y,15,,,,64,,77,,44,
241572,LANDSTAR RANGER INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224,38,6855,7027,123390000,5000,TRAVELERS PROPERTY CASUALTY CO.  OF AMERICA,Federal,X,X,,,X,X,,X,,,X,,X,X,,X,X,,X,,,,X,,X,X,,,X,,,X,,,,,,,,,,,,X,Y,N,3688,SATISFACTORY,2/13/2022,91,Safety,67,Y,67,Y,15,,,,64,,77,,44,
216939,LANDSTAR INWAY INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224-5270,39,4778,3883,86004000,5000,OLD REPUBLIC INSURANCE COMPANY,Texas,X,X,,,X,X,,,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,X,Y,N,3688,SATISFACTORY,4/29/2020,91,Safety,66,Y,68,Y,11,,,,63,,70,,37,
216939,LANDSTAR INWAY INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224-5270,39,4778,3883,86004000,5000,SELF-INSURED,Federal,X,X,,,X,X,,,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,X,Y,N,3688,SATISFACTORY,4/29/2020,91,Safety,66,Y,68,Y,11,,,,63,,70,,37,
216939,LANDSTAR INWAY INC,13410 SUTTON PARK DRIVE SOUTH,JACKSONVILLE,DUVAL,FL,32224-5270,39,4778,3883,86004000,5000,TRAVELERS PROPERTY CASUALTY CO.  OF AMERICA,Federal,X,X,,,X,X,,,,,X,,X,,,X,X,,X,,,,X,,,X,,,X,,,X,,,,,,,,,,,,X,Y,N,3688,SATISFACTORY,4/29/2020,91,Safety,66,Y,68,Y,11,,,,63,,70,,37,
420647,SOUTHERN GLAZER'S WINE AND SPIRITS LLC,1600 NW 163RD STREET,MIAMI,MIAMI-DADE,FL,33169,31,2821,2597,50778000,750,FEDERAL INSURANCE CO.,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,N,N,4856,SATISFACTORY,7/1/2008,24,Safety,34,,26,,63,,0,,25,,,,49,
420647,SOUTHERN GLAZER'S WINE AND SPIRITS LLC,1600 NW 163RD STREET,MIAMI,MIAMI-DADE,FL,33169,31,2821,2597,50778000,750,HARTFORD FIRE INSURANCE COMPANY,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,N,N,4856,SATISFACTORY,7/1/2008,24,Safety,34,,26,,63,,0,,25,,,,49,
