DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3490777,DJS EXPRESS TRANSPORT LLC,FL,SEMINOLE,Normal,100,1,8,122500
3583145,HERSEY ENTERPRISES LLC,FL,SAINT JOHNS,Normal,100,1,8,122500
3259601,TRANSPORT LOGISTICS EXPRESS CORP,FL,COLUMBIA,Normal,100,3,5,87500
872185,CT&T TRANSPORT INC,FL,SEMINOLE,Normal,100,22,4,68500
3238348,PINE LOGICS LLC,FL,MIAMI-DADE,High Risk,100,3,2,39000
3421174,CAMARIOCA TRUCKING LLC,FL,BROWARD,Normal,100,2,2,36500
3567913,SMART VAN LINES GROUP INC,FL,BROWARD,Normal,100,1,2,36500
3567913,SMART VAN LINES GROUP INC,FL,BROWARD,Normal,100,1,2,36500
3156010,TREPAD TRUCKING LLC,FL,CHARLOTTE,Normal,100,3,1,19500
535932,OLYMPIC TRANSFER CORP,FL,MIAMI-DADE,High Risk,99,28,55,828000
2144048,FOUR H TRUCKING LLC,FL,MIAMI-DADE,High Risk,99,11,22,333000
3155914,EV CARRIER LLC,FL,VOLUSIA,Normal,99,3,6,92500
3164517,NATIONAL INFINITY TRUCKING LLC,FL,DUVAL,Normal,99,3,1,19500
3648274,ACADEMIA TRUCKING CORP,FL,MIAMI-DADE,High Risk,99,1,1,22000
3681820,AIN TRANSPORT INC,FL,HILLSBOROUGH,Normal,99,0,1,19500
3717022,KESSELL EXPRESS MECHANIC SERVICE INC,FL,MIAMI-DADE,High Risk,99,0,1,22000
3032703,RED HORSE TRANSPORTATION LLC,FL,SUWANNEE,Normal,98,4,9,137500
1706233,E & A HEAVY HAULING INC,FL,DUVAL,Normal,98,14,22,330500
3435118,B & Y TRANSPORT CORP,FL,MIAMI-DADE,High Risk,98,2,9,140000
2517543,J R M TRUCK SERVICE LLC,NJ,CAMDEN,Normal,98,8,7,105500
3596767,AMBOR TRUCKING LLC,FL,COLLIER,Normal,98,1,5,87500
3289486,BLUE ROAD TRANSPORT CORP,FL,LEE,Normal,98,3,4,70500
3426063,T YOUNG EXPRESS LLC,FL,ALACHUA,Normal,98,2,4,70500
3463882,LUGOS EXPRESS SERVICES LLC,FL,MONROE,Normal,98,1,4,70500
2918733,BUNITA TRUCKING COMPANY INC,FL,ORANGE,Normal,98,5,3,53500
